time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1995-12-02T06:09:48.710Z,29.204,35.11,10,3.7,md,,,,0.7,us,usp00077y4,2014-11-07T00:59:18.794Z,"25 km SSE of Tala Bay, Jordan",earthquake,,,,,reviewed,us,hlw
1995-12-01T21:18:30.920Z,29.125,35.046,10,3.9,mb,,,,0.8,us,usp00077xc,2014-11-07T00:59:18.573Z,"32 km SSE of Tala Bay, Jordan",earthquake,,,,6,reviewed,us,us
1995-12-01T20:04:59.740Z,29.233,34.694,10,4.4,mb,,,,1,us,usp00077x8,2014-11-07T00:59:18.535Z,"20 km N of Nuwaybi‘a, Egypt",earthquake,,,,25,reviewed,us,us
1995-12-01T09:17:56.880Z,28.7,34.523,10,4.4,mb,,,,1.2,us,usp00077w0,2014-11-07T00:59:18.101Z,"24 km N of Dahab, Egypt",earthquake,,,,14,reviewed,us,us
1995-11-28T21:10:43.670Z,29.178,34.873,10,4.4,ml,,,,0.6,us,usp00077q6,2014-11-07T00:59:14.523Z,"25 km NE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,jer
1995-11-28T12:00:51.550Z,29.146,34.931,10,4.5,ml,,,,0.7,us,usp00077pf,2014-11-07T00:59:14.479Z,"28 km ENE of Nuwaybi‘a, Egypt",earthquake,,,,,reviewed,us,jer
1995-11-26T02:17:47.980Z,29.09,35.026,10,3.6,mb,,,,1,us,usp00077hd,2014-11-07T00:59:13.937Z,"35 km S of Tala Bay, Jordan",earthquake,,,,1,reviewed,us,us
1995-11-25T23:06:20.830Z,29.184,35.01,10,4.2,ml,,,,0.5,us,usp00077h9,2014-11-07T00:59:13.930Z,"25 km S of Tala Bay, Jordan",earthquake,,,,,reviewed,us,jer
1995-11-25T22:41:30.110Z,29.054,34.774,12.4,4.1,ml,,,,0.7,us,usp00077h7,2014-11-07T00:59:13.926Z,"10 km E of Nuwaybi‘a, Egypt",earthquake,,4.3,,,reviewed,us,jer
1995-11-25T11:41:35.260Z,29.12,34.836,10,4.8,mb,,,,1.1,us,usp00077g1,2014-11-07T00:59:13.815Z,"18 km ENE of Nuwaybi‘a, Egypt",earthquake,,,,43,reviewed,us,us
