latitude,longitude,depth,mag,magType,(Mw),nst,gap,dmin,rms,place,magNst,month,day,year,hour,minute,second,Exact_Date,mag2
27.969,33.775,10,4.6,mb,4.67678,,,,1.1,"33 km SSE of El-Tor, Egypt",8,6,5,1988,18,26,57.84,1988.432691,
26.817,34.964,10,4,mb,3.9512,,,,1,"93 km SW of Duba, Saudi Arabia",2,3,4,1988,2,58,33.67,1988.178122,
30.722,31.699,10,4.1,mb,4.07213,,,,1,"2 km E of Ab? Kab?r, Egypt",3,12,14,1987,21,50,59.37,1987.958084,
26.979,35.018,10,4.9,mb,5.03957,,,,1,"78 km WSW of Duba, Saudi Arabia",8,9,6,1987,9,5,53.91,1987.684386,
32.439,29.034,33,4.5,mb,4.55585,,,,1.1,"160 km NNW of Alexandria, Egypt",36,4,9,1987,3,0,7.64,1987.275347,
30.48,32.221,24.1,5,mb,5.1605,,,,0.9,"14 km SSW of Ismailia, Egypt",3,1,2,1987,10,14,46.4,1987.006741,
32.461,30.507,21.4,4,mb,3.9512,,,,1.2,"118 km N of Rosetta, Egypt",3,7,12,1986,10,29,32.85,1986.534548,
27.215,34.291,10,4.3,mb,4.31399,,,,1.5,"46 km ENE of Makadi Bay, Egypt",7,4,8,1986,8,43,34.61,1986.273232,
29.075,34.855,10,4.9,mb,5.03957,,,,1.2,18 km E of Nuwaybiï¿½ï¿½ï¿½ï¿,14,12,31,1985,19,42,40.64,1986.005059,
27.962,33.817,10,4.6,mb,4.67678,,,,1.2,"36 km SSE of El-Tor, Egypt",9,2,28,1985,16,55,47.22,1985.163071,
27.654,34.006,10,4.5,mb,4.55585,,,,1,"43 km SW of Sharm el-Sheikh, Egypt",4,12,8,1984,7,41,53.48,1984.93978,
30.183,32.1,10,4.7,mb,4.79771,,,,1.1,"47 km WNW of Suez, Egypt",17,3,29,1984,21,36,6.22,1984.249722,
28.509,33.171,10,5,mb,5.1605,,,,0.9,"19 km NNE of Ras Gharib, Egypt",36,6,12,1983,12,0,6.34,1983.451389,
29.272,34.766,10,4.8,mb,4.91864,,,,1,"25 km SW of Tala Bay, Jordan",26,2,3,1983,23,30,24.92,1983.094387,
29.185,34.668,10,4.5,mb,4.55585,,,,1,15 km N of Nuwaybiï¿½ï¿½ï¿½ï¿,6,2,3,1983,19,11,34.75,1983.093888,
29.188,34.863,10,4.5,mb,4.55585,,,,1.1,24 km NE of Nuwaybiï¿½ï¿½ï¿½ï¿,1,2,3,1983,17,32,24.09,1983.093697,
29.165,34.832,10,4.9,mb,5.03957,,,,1,20 km NE of Nuwaybiï¿½ï¿½ï¿½ï¿,19,2,3,1983,13,46,2.31,1983.09326,
27.764,34.002,10,4.5,mb,4.55585,,,,1.4,"36 km WSW of Sharm el-Sheikh, Egypt",3,10,30,1982,4,36,46.29,1982.833867,
26.872,34.814,10,4.8,mb,4.91864,,,,1.2,"88 km E of Safaga, Egypt",4,10,14,1982,13,40,23.16,1982.790471,
